date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2015-10-28,0.016767067452017295,0.020204977734672818,0.017192983193773232,0.015050927282867164,0.020914642124204765,0.015668289066854756,0.01657419951667806,0.013355137532556478
2015-10-29,0.01630797743957132,0.020059028168309682,0.01721257938389213,0.014392435365392342,0.021134548419435486,0.017426111732269156,0.01697685785056998,0.013374183335890447
2015-10-30,0.01638510324944559,0.02008636196502257,0.017010955693699797,0.013693050912023125,0.02099394701984842,0.017715313065028014,0.017392059653218245,0.012344515902073595
2015-11-02,0.016345412544508903,0.01999906961506318,0.017087015237662456,0.014047411957117659,0.020961430820863436,0.017726150727314254,0.018337224614815444,0.013218653359507712
2015-11-03,0.016091876615910716,0.019615005833290323,0.016453732508604654,0.01389329072357831,0.020936554677797585,0.01674607384654472,0.01830796220153551,0.013163097547297163
2015-11-04,0.016113094538321174,0.019854325427553172,0.016445981025555497,0.013832636308962143,0.020889859462190644,0.01730492336444287,0.018862160945511665,0.013307608474212713
2015-11-05,0.016223583423099246,0.01998111943276566,0.016443396949173014,0.013749568587456263,0.0209048591685089,0.017449932235079728,0.018863274896507375,0.01377482994410366
2015-11-06,0.01620366929749383,0.01942552455211718,0.015616130468238155,0.014272953336166672,0.020871229420207256,0.029884402262054344,0.01826646383108004,0.013872891923338624
2015-11-09,0.015724074103623524,0.01756429237096101,0.014784804048490287,0.013769584070200047,0.020836510794121167,0.029692749671993635,0.017104532679107668,0.015073085159329569
2015-11-10,0.015829803744940377,0.016940009715422255,0.01469021103549273,0.013717835115540467,0.02113401399194189,0.030138969918966783,0.017093775496761034,0.01507267298464915
2015-11-11,0.015802255503410897,0.016549860956833806,0.014274848177712171,0.013525533640766224,0.02103195937355298,0.0297641246244826,0.01701464350649815,0.01498741325304341
2015-11-12,0.01575496453961121,0.01689707055588031,0.014630544977709296,0.01415989641330872,0.021158935352276826,0.02940642438518031,0.01703744412232122,0.015934637836612746
2015-11-13,0.016707728539742412,0.018417242067814837,0.015054039594727894,0.01407336369884158,0.02112916703686515,0.02962791178130787,0.015537082835837667,0.01573129452902544
2015-11-16,0.01694336276153626,0.018218873547336093,0.014778619452431172,0.013877509998358661,0.02098471227587721,0.02953655038381951,0.015387968805160912,0.016858711267123613
2015-11-17,0.016956711773262936,0.018090010809645788,0.014869856492877217,0.01395332076498454,0.02128993580647497,0.029531560106297223,0.014992915965718523,0.01687021184357085
2015-11-18,0.01782350989762094,0.018669310716794053,0.015076261890713084,0.01432198659474308,0.02139543078522857,0.02964477678304578,0.014932140921864154,0.016690323267599474
2015-11-19,0.017734677166822633,0.018264555361535317,0.015009136421659824,0.014311967646878324,0.02133461647490016,0.02965112751661965,0.015924109549353443,0.016624228597220767
2015-11-20,0.017287693170925936,0.018251533966258508,0.015362467650167539,0.014292921720297601,0.02122074708691458,0.029593343825081175,0.01590021324922409,0.016567926981591565
2015-11-23,0.017468246290428754,0.018183976981605784,0.015384201284155442,0.014437943489032073,0.021197619590430934,0.029840854192428545,0.0165647712899833,0.016601615764713962
2015-11-24,0.017523962917947833,0.018426415795987645,0.015553477305200673,0.014423122065232207,0.021165977888306896,0.029834687853822223,0.017016755562870745,0.016966171076357724
2015-11-25,0.017344977883467772,0.018228532422409828,0.015502771334638158,0.013414504127704528,0.021283535378436167,0.029298555450508194,0.017821748113568275,0.016902319396023803
2015-11-27,0.017197028247517242,0.017693724335874756,0.015265111745445118,0.012335784813452155,0.02127962118520953,0.02930303322688625,0.01680141369937326,0.016634195137081784
2015-11-30,0.017112758255338676,0.017936934786259132,0.015526407817883957,0.01241718060787475,0.02125901596999255,0.029252646433409808,0.016677217109601676,0.016505379189108296
2015-12-01,0.017198190581449387,0.018176948324841662,0.016137652223182673,0.01254780368043933,0.02135277518087272,0.029655592036568805,0.017403124880935827,0.016162843187222806
2015-12-02,0.017017191469845164,0.01755471238370981,0.015108180597687924,0.012913260986294054,0.021372231839579377,0.02972968231898864,0.01763645838595181,0.017010353736900612
2015-12-03,0.017117598079567548,0.017742837893479534,0.015121507647786903,0.013093445333336126,0.02157709019551198,0.029561225907702413,0.0176254701068074,0.017151490811515062
2015-12-04,0.017944233272841316,0.017683880449887075,0.015130825577269275,0.013880980635418635,0.022007965642210216,0.029733550529402093,0.017787966484127723,0.015961214672746978
2015-12-07,0.017076824303093315,0.014219526737305739,0.011762453041000247,0.014073141516329534,0.012637395064831938,0.030084931802881514,0.017306024366122795,0.016568489544872646
2015-12-08,0.01598601098066027,0.01410455395560687,0.011465679009435506,0.014419611692943908,0.011783258254038798,0.030062116347629318,0.017291806720682847,0.01689045371377541
2015-12-09,0.016484465276765056,0.014673910892182151,0.011939642808758142,0.014477638162315995,0.011946079924977452,0.03058093269059926,0.01661717713928262,0.017143593958233914
2015-12-10,0.01461343669016423,0.0146599519161235,0.011942092461343786,0.013469489646754125,0.011944441059125116,0.030581510853034708,0.01637898274912875,0.016857966835763138
2015-12-11,0.015135844185228665,0.015843558893013646,0.012053603292605809,0.014125154699052515,0.012455426726820592,0.029905708373793315,0.016137545214116044,0.01707829892790882
2015-12-14,0.015106665055104579,0.016580349311154506,0.012225541517639441,0.013878827132969408,0.012655376271991776,0.02968973066307599,0.015478067008801093,0.01764978574282897
2015-12-15,0.015061793875794486,0.01657590536249475,0.012004195886783215,0.014371406809057687,0.012520092004603208,0.02969495784283264,0.0137279056727595,0.018717045728989884
2015-12-16,0.014952350373076477,0.017104411775216245,0.01260737868952633,0.014878438697820068,0.012509516272841551,0.029608506758664454,0.01391938327435362,0.018308250934297898
2015-12-17,0.015312704306640548,0.016669952924313204,0.012655769437347553,0.015298003370367715,0.01259688492720241,0.029573366797642015,0.013362812519338914,0.01839793881681568
2015-12-18,0.01587725211306044,0.01629349422887112,0.012990447263475733,0.016070172728048473,0.013668982461962784,0.02968108834142056,0.013451882117228678,0.018323153940196832
2015-12-21,0.01613493667797011,0.01626484526742857,0.013024780925678386,0.015368620680270798,0.01375537047670459,0.016281280239594607,0.013765739716936967,0.018328351476829388
2015-12-22,0.016143838210187295,0.01622887276203765,0.012994598821613884,0.015139515677772487,0.01360235553321297,0.01624280391852951,0.013715383225334072,0.017648605772574204
2015-12-23,0.01553618559789912,0.01619113892491012,0.012974826064492071,0.015421519784301771,0.01345029337699422,0.015762312072504187,0.013687423230064655,0.018703364467580887
2015-12-24,0.015533965768386167,0.015734402309637373,0.012888353182594691,0.015401183716393686,0.013469916248670956,0.015593253346498363,0.013698056305501524,0.018734358254323503
2015-12-28,0.015618407944158459,0.015968786699061783,0.013265323980390813,0.01495643110096442,0.013410611164435425,0.015562121443493778,0.01361999232141051,0.018116708565215897
2015-12-29,0.0152112891285623,0.015246415464384292,0.01275914673531782,0.015006714827758505,0.013351589557564162,0.01513151404141891,0.013830049936054991,0.01787323082342693
